traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
耿馬縣,耿马县,Geng3 ma3 xian4],Gengma Dai and Va autonomous county in Lincang 臨滄|临沧[Lin2 cang1] Yunnan,,,,,,,,,,,,,,,,,
聃,聃,dan1],ears without rim,,,,,,,,,,,,,,,,,
聆,聆,ling2],to hear,to listen,to understand clearly,,,,,,,,,,,,,,,
聆聽,聆听,ling2 ting1],to listen (respectfully),,,,,,,,,,,,,,,,,
聆訊,聆讯,ling2 xun4],hearing (law),,,,,,,,,,,,,,,,,
聊,聊,liao2],to chat,to depend upon (literary),temporarily,just,slightly,,,,,,,,,,,,,
聊且,聊且,liao2 qie3],for the time being,tentatively,,,,,,,,,,,,,,,,
聊以塞責,聊以塞责,liao2 yi3 se4 ze2],just to get away with one's responsibilities,in order to get off the hook,,,,,,,,,,,,,,,,
聊以自慰,聊以自慰,liao2 yi3 zi4 wei4],to find some consolation (idiom),to find relief in,,,,,,,,,,,,,,,,
聊以解悶,聊以解闷,liao2 yi3 jie3 men4],relaxation,,,,,,,,,,,,,,,,,
聊備,聊备,liao2 bei4],to provide as expedient,to use temporarily as,to make shift,,,,,,,,,,,,,,,
聊備一格,聊备一格,liao2 bei4 yi1 ge2],to use as a stopgap,to give perfunctory recognition,token,nominal,,,,,,,,,,,,,,
聊勝於無,聊胜于无,liao2 sheng4 yu2 wu2],better than nothing (idiom),,,,,,,,,,,,,,,,,
聊城,聊城,Liao2 cheng2],Liaocheng prefecture level city in Shandong,,,,,,,,,,,,,,,,,
聊城地區,聊城地区,Liao2 cheng2 di4 qu1],Liaocheng prefecture in Shandong,,,,,,,,,,,,,,,,,
聊城市,聊城市,Liao2 cheng2 shi4],Liaocheng prefecture level city in Shandong,,,,,,,,,,,,,,,,,
聊天,聊天,liao2 tian1],to chat,to gossip,,,,,,,,,,,,,,,,
聊天兒,聊天儿,liao2 tian1 r5],erhua variant of 聊天[liao2 tian1],,,,,,,,,,,,,,,,,
聊天室,聊天室,liao2 tian1 shi4],chat room,,,,,,,,,,,,,,,,,
聊敘,聊叙,liao2 xu4],to speak tentatively,,,,,,,,,,,,,,,,,
聊生,聊生,liao2 sheng1],to earn a living (esp. with negative),,,,,,,,,,,,,,,,,
聊表寸心,聊表寸心,liao2 biao3 cun4 xin1],(of a gift) to be a small token of one's feelings,,,,,,,,,,,,,,,,,
聊賴,聊赖,liao2 lai4],to suffer tedium,,,,,,,,,,,,,,,,,
聊齋志異,聊斋志异,Liao2 zhai1 Zhi4 yi4],Strange Stories from a Chinese Studio Qing dynasty book of tales by 蒲松齡|蒲松龄[Pu2 Song1 ling2],,,,,,,,,,,,,,,,,
聎,聎,tiao1],tinnitus,,,,,,,,,,,,,,,,,
聒,聒,guo1],raucous,clamor,unpleasantly noisy,,,,,,,,,,,,,,,
聒噪,聒噪,guo1 zao4],a clamor,noisy,,,,,,,,,,,,,,,,
聒耳,聒耳,guo1 er3],raucous,ear-splitting,,,,,,,,,,,,,,,,
聖,圣,sheng4],holy,sacred,saint,sage,,,,,,,,,,,,,,
聖上,圣上,sheng4 shang4],courtier's or minister's form of address for the current Emperor,,,,,,,,,,,,,,,,,
聖事,圣事,sheng4 shi4],Holy sacrament,Christian rite (esp. Catholic),also called 聖禮|圣礼 by Protestants,,,,,,,,,,,,,,,
聖人,圣人,sheng4 ren2],saint,sage,refers to Confucius 孔子[Kong3 zi3],the current reigning Emperor,,,,,,,,,,,,,,
聖代,圣代,sheng4 dai4],sundae (ice cream dessert with toppings) (loanword),,,,,,,,,,,,,,,,,
聖伯多祿大殿,圣伯多禄大殿,Sheng4 Bo2 duo1 lu4 Da4 dian4],St Peter's Basilica Vatican City,,,,,,,,,,,,,,,,,
聖但尼,圣但尼,Sheng4 dan4 ni2],St Denis or St Dennis,,,,,,,,,,,,,,,,,
聖佛明節,圣佛明节,Sheng4 fo2 ming2 jie2],Fiesta de Saint Fermin festival held annually in Pamplona Spain,,,,,,,,,,,,,,,,,
聖保羅,圣保罗,Sheng4 bao3 luo2],St Paul,São Paulo city in Brazil,,,,,,,,,,,,,,,,
聖像,圣像,sheng4 xiang4],icon,iconic,religious image,figure (of Confucius Buddha Jesus Christ the Virgin Mary etc),CL:張|张[zhang1],,,,,,,,,,,,,
聖僧,圣僧,sheng4 seng1],senior monk,,,,,,,,,,,,,,,,,
聖克魯斯,圣克鲁斯,Sheng4 Ke4 lu3 si1],Santa Cruz,,,,,,,,,,,,,,,,,
聖克魯斯島,圣克鲁斯岛,Sheng4 Ke4 lu3 si1 Dao3],Santa Cruz Island off the California coast,,,,,,,,,,,,,,,,,
聖典,圣典,sheng4 dian3],sacred writing,canon,,,,,,,,,,,,,,,,
聖凱瑟琳,圣凯瑟琳,Sheng4 Kai3 se4 lin2],Saint Catherine,,,,,,,,,,,,,,,,,
聖勞倫斯河,圣劳伦斯河,Sheng4 Lao2 lun2 si1 He2],St Lawrence River Canada,,,,,,,,,,,,,,,,,
聖化,圣化,sheng4 hua4],sanctify,sanctification,consecrate,,,,,,,,,,,,,,,
聖君,圣君,sheng4 jun1],sage,,,,,,,,,,,,,,,,,
聖哈辛托,圣哈辛托,Sheng4 ha1 xin1 tuo1],San Jacinto,,,,,,,,,,,,,,,,,
聖哉經,圣哉经,sheng4 zai1 jing1],Sanctus (section of Catholic mass),,,,,,,,,,,,,,,,,
聖哲,圣哲,sheng4 zhe2],sage,,,,,,,,,,,,,,,,,
聖喬治,圣乔治,sheng4 Qiao2 zhi4],St George,,,,,,,,,,,,,,,,,
聖地,圣地,sheng4 di4],holy land (of a religion),sacred place,shrine,holy city (such as Jerusalem Mecca etc),center of historic interest,,,,,,,,,,,,,
聖地亞哥,圣地亚哥,Sheng4 di4 ya4 ge1],Santiago capital of Chile,San Diego California,,,,,,,,,,,,,,,,
聖地牙哥,圣地牙哥,Sheng4 di4 ya2 ge1],(Tw) San Diego California,Santiago capital of Chile,,,,,,,,,,,,,,,,
聖城,圣城,sheng4 cheng2],Holy City,,,,,,,,,,,,,,,,,
聖基茨和尼維斯,圣基茨和尼维斯,Sheng4 ji1 ci2 he2 Ni2 wei2 si1],Saint Kitts and Nevis,,,,,,,,,,,,,,,,,
聖塔倫,圣塔伦,Sheng4 ta3 lun2],Santarém (Portugal),Santarém (Brazil),,,,,,,,,,,,,,,,
聖多明各,圣多明各,Sheng4 Duo1 ming2 ge4],San Domingo capital of the Dominican Republic,,,,,,,,,,,,,,,,,
聖多明哥,圣多明哥,Sheng4 Duo1 ming2 ge1],Santo Domingo capital of Dominican Republic (Tw),,,,,,,,,,,,,,,,,
聖多美,圣多美,Sheng4 Duo1 mei3],Sao Tome capital of Sao Tome and Principe,,,,,,,,,,,,,,,,,
聖多美和普林西比,圣多美和普林西比,Sheng4 duo1 mei3 he2 Pu3 lin2 xi1 bi3],São Tomé and Príncipe,,,,,,,,,,,,,,,,,
聖大非,圣大非,Sheng4 Da4 fei1],Santa Fe,,,,,,,,,,,,,,,,,
聖奧古斯丁,圣奥古斯丁,Sheng4 Ao4 gu3 si1 ding1],St Augustine,Aurelius Augustinus (354-430) theologian and Christian philosopher,Sankt Augustin suburb of Beuel Bonn Germany,,,,,,,,,,,,,,,
聖女果,圣女果,sheng4 nu:3 guo3],cherry tomato,,,,,,,,,,,,,,,,,
聖女貞德,圣女贞德,Sheng4 nu:3 Zhen1 de2],Joan of Arc (1412-1431) French heroine and liberator executed as a witch by the Burgundians and English,,,,,,,,,,,,,,,,,
聖嬰,圣婴,Sheng4 Ying1],El Niño (meteorology),Holy Infant (cf biblical nativity story),,,,,,,,,,,,,,,,
聖子,圣子,Sheng4 zi3],Holy Son,Jesus Christ,God the Son (in the Christian Trinity),,,,,,,,,,,,,,,
聖安地列斯斷層,圣安地列斯断层,Sheng4 an1 de5 lie4 si1 Duan4 ceng2],San Andreas Fault California,also written 聖安德列斯斷層|圣安德列斯断层,,,,,,,,,,,,,,,,
聖安多尼堂區,圣安多尼堂区,Sheng4 An1 duo1 ni2 tang2 qu1],St Anthony Parish (Macau),Freguesia de Santo António,,,,,,,,,,,,,,,,
聖安德列斯斷層,圣安德列斯断层,Sheng4 an1 de2 lie4 si1 Duan4 ceng2],San Andreas Fault California,,,,,,,,,,,,,,,,,
聖安德魯,圣安德鲁,sheng4 An1 de2 lu3],St Andrew,,,,,,,,,,,,,,,,,
聖安東尼奧,圣安东尼奥,Sheng4 An1 dong1 ni2 ao4],San Antonio Texas,,,,,,,,,,,,,,,,,
聖帕特里克,圣帕特里克,Sheng4 Pa4 te4 li3 ke4],Saint Patrick,,,,,,,,,,,,,,,,,
聖廟,圣庙,sheng4 miao4],shrine to a sage (esp. Confucius),,,,,,,,,,,,,,,,,
聖彼得,圣彼得,Sheng4 Bi3 de2],Saint Peter,,,,,,,,,,,,,,,,,
聖彼得堡,圣彼得堡,Sheng4 Bi3 de2 bao3],Saint Petersburg (city in Russia),,,,,,,,,,,,,,,,,
聖徒,圣徒,sheng4 tu2],saint,,,,,,,,,,,,,,,,,
聖德克旭貝里,圣德克旭贝里,Sheng4 de2 ke4 xu4 bei4 li3],(Antoine de) Saint-Exupéry,,,,,,,,,,,,,,,,,
聖德太子,圣德太子,Sheng4 de2 Tai4 zi3],Prince Shōtoku Taiji (574-621) major Japanese statesman and reformer of the Asuka period 飛鳥時代|飞鸟时代[Fei1 niao3 Shi2 dai4] proponent of state Buddhism portrayed as Buddhist saint,,,,,,,,,,,,,,,,,
聖心,圣心,sheng4 xin1],Sacred Heart (Christian),,,,,,,,,,,,,,,,,
聖心節,圣心节,sheng4 xin1 jie2],Feast of the Sacred Heart,,,,,,,,,,,,,,,,,
聖戰,圣战,sheng4 zhan4],Holy war,jihad,,,,,,,,,,,,,,,,
聖手,圣手,sheng4 shou3],divine physician,sage doctor,highly skilled practitioner,,,,,,,,,,,,,,,
聖文森及格瑞那丁,圣文森及格瑞那丁,Sheng4 Wen2 sen1 ji2 Ge2 rui4 na4 ding1],Saint Vincent and the Grenadines (Tw),,,,,,,,,,,,,,,,,
聖文森和格林納丁,圣文森和格林纳丁,Sheng4 Wen2 sen1 he2 Ge2 lin2 na4 ding1],St Vincent and Grenadines Caribbean island in Lesser Antilles,,,,,,,,,,,,,,,,,
聖文森特和格林納丁斯,圣文森特和格林纳丁斯,Sheng4 wen2 sen1 te4 he2 Ge2 lin2 na4 ding1 si1],Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,
聖旨,圣旨,sheng4 zhi3],imperial edict,,,,,,,,,,,,,,,,,
聖明,圣明,sheng4 ming2],enlightened sage,brilliant master (flattering words applied to ruler),,,,,,,,,,,,,,,,
聖朝,圣朝,sheng4 chao2],the current imperial dynasty,one's own court,,,,,,,,,,,,,,,,
聖杯,圣杯,sheng4 bei1],Holy Grail,,,,,,,,,,,,,,,,,
聖歌,圣歌,sheng4 ge1],hymn,,,,,,,,,,,,,,,,,
聖殿,圣殿,sheng4 dian4],temple,,,,,,,,,,,,,,,,,
聖母,圣母,Sheng4 mu3],Holy Mother,goddess,the Virgin Mary,,,,,,,,,,,,,,,
聖母升天節,圣母升天节,Sheng4 mu3 sheng1 tian1 jie2],Assumption of the Virgin Mary (Christian festival on 15th August),,,,,,,,,,,,,,,,,
聖母峰,圣母峰,Sheng4 mu3 feng1],Goddess peak (Nepalese: Sagarmatha Sky Goddess),refers to Mt Chomolungma or Qomolangma (Tibetan) Chinese 珠穆朗瑪峰|珠穆朗玛峰,Mt Everest,,,,,,,,,,,,,,,
聖母教堂,圣母教堂,sheng4 mu3 jiao4 tang2],Church of Our Lady,Frauenkirche,,,,,,,,,,,,,,,,
聖母瑪利亞,圣母玛利亚,Sheng4 mu3 Ma3 li4 ya4],Mary (mother of Jesus),,,,,,,,,,,,,,,,,
聖水,圣水,sheng4 shui3],holy water,,,,,,,,,,,,,,,,,
聖洗,圣洗,sheng4 xi3],baptism (Christian ceremony),,,,,,,,,,,,,,,,,
聖渦,圣涡,sheng4 wo1],dimples of Venus,back dimples,,,,,,,,,,,,,,,,
聖潔,圣洁,sheng4 jie2],pure and holy,,,,,,,,,,,,,,,,,
聖潘克勒斯站,圣潘克勒斯站,sheng4 Pan1 ke4 lei1 si1 zhan4],Saint Pancras (London railway station),,,,,,,,,,,,,,,,,
聖火,圣火,sheng4 huo3],sacred fire,Olympic flame,,,,,,,,,,,,,,,,
聖灰瞻禮日,圣灰瞻礼日,Sheng4 hui1 zhan1 li3 ri4],Ash Wednesday,,,,,,,,,,,,,,,,,
聖灰節,圣灰节,sheng4 hui1 jie2],Ash Wednesday (first day of Lent),,,,,,,,,,,,,,,,,
聖燭節,圣烛节,Sheng4 zhu2 jie2],Candlemas (Christian Festival on 2nd February),,,,,,,,,,,,,,,,,
聖父,圣父,Sheng4 Fu4],Holy Father,God the Father (in the Christian Trinity),,,,,,,,,,,,,,,,
聖王,圣王,sheng4 wang2],sage ruler,,,,,,,,,,,,,,,,,
聖皮埃爾和密克隆,圣皮埃尔和密克隆,Sheng4 Pi2 ai1 er3 he2 Mi4 ke4 long2],Saint-Pierre and Miquelon,,,,,,,,,,,,,,,,,
聖盤,圣盘,sheng4 pan2],Holy Grail,,,,,,,,,,,,,,,,,
聖盧西亞,圣卢西亚,Sheng4 Lu2 xi1 ya4],Saint Lucia,,,,,,,,,,,,,,,,,
聖盧西亞島,圣卢西亚岛,Sheng4 Lu2 xi1 ya4 Dao3],Saint Lucia,,,,,,,,,,,,,,,,,
聖祖,圣祖,Sheng4 zu3],Shengzu temple name of the second Qing emperor known as the Kangxi Emperor (1654-1722),cf. 康熙[Kang1 xi1],,,,,,,,,,,,,,,,
聖祖,圣祖,sheng4 zu3],divine ancester,patron saint,,,,,,,,,,,,,,,,
聖神,圣神,Sheng4 shen2],feudal term of praise for ruler king or emperor,general term for saint in former times,term for God during the Taiping Heavenly Kingdom 太平天國|太平天国,Holy Spirit (in Christian Trinity),,,,,,,,,,,,,,
聖神降臨,圣神降临,Sheng4 shen2 jiang4 lin2],Whit Sunday (Christian Festival celebrating the Holy Spirit),,,,,,,,,,,,,,,,,
聖神降臨週,圣神降临周,Sheng4 shen2 jiang4 lin2 zhou1],Whitsuntide,,,,,,,,,,,,,,,,,
聖禮,圣礼,sheng4 li3],Holy sacrament,Christian rite (esp. Protestant),also called 聖事|圣事 by Catholics,,,,,,,,,,,,,,,
聖約,圣约,sheng4 yue1],covenant,,,,,,,,,,,,,,,,,
聖約瑟夫,圣约瑟夫,Sheng4 Yue1 se4 fu1],Saint Joseph,,,,,,,,,,,,,,,,,
聖約翰,圣约翰,Sheng4 Yue1 han4],Saint John,,,,,,,,,,,,,,,,,
聖約翰斯,圣约翰斯,Sheng4 Yue1 han4 si1],St John's capital of Labrador and Newfoundland province Canada,,,,,,,,,,,,,,,,,
聖納帕,圣纳帕,Sheng4 na4 pa4],Agia Napa Cyprus,Ayia Napa Cyprus,,,,,,,,,,,,,,,,
聖索非亞,圣索非亚,Sheng4 Suo3 fei1 ya4],Hagia Sophia (Greek: Holy wisdom),,,,,,,,,,,,,,,,,
聖索非亞大教堂,圣索非亚大教堂,Sheng4 Suo3 fei1 ya4 da4 jiao4 tang2],Hagia Sophia (the main cathedral of Constantinople subsequently the major mosque of Istanbul),,,,,,,,,,,,,,,,,
聖經,圣经,Sheng4 jing1],Holy Bible,the Confucian classics,CL:本[ben3]部[bu4],,,,,,,,,,,,,,,
聖經外傳,圣经外传,Sheng4 jing1 Wai4 zhuan4],Apocrypha,biography external to the classics,,,,,,,,,,,,,,,,
聖經段落,圣经段落,sheng4 jing1 duan4 luo4],Bible passage,,,,,,,,,,,,,,,,,
聖經賢傳,圣经贤传,sheng4 jing1 xian2 zhuan4],lit. holy scripture and biography of sage (idiom); refers to Confucian canonical texts,,,,,,,,,,,,,,,,,
聖者,圣者,sheng4 zhe3],holy one,saint,,,,,,,,,,,,,,,,
聖職,圣职,sheng4 zhi2],priesthood,,,,,,,,,,,,,,,,,
聖胎,圣胎,sheng4 tai1],immortal body (of born again Daoist),,,,,,,,,,,,,,,,,
聖胡安,圣胡安,Sheng4 Hu2 an1],San Juan capital of Puerto Rico,,,,,,,,,,,,,,,,,
聖荷西,圣荷西,Sheng4 He2 xi1],San Jose,,,,,,,,,,,,,,,,,
聖菲,圣菲,Sheng4 Fei1],Santa Fe,,,,,,,,,,,,,,,,,
聖薩爾瓦多,圣萨尔瓦多,Sheng4 Sa4 er3 wa3 duo1],San Salvador capital of El Salvador,,,,,,,,,,,,,,,,,
聖藥,圣药,sheng4 yao4],panacea,,,,,,,,,,,,,,,,,
聖訓,圣训,sheng4 xun4],sage's instructions,imperial edict,,,,,,,,,,,,,,,,
聖詩,圣诗,sheng4 shi1],hymn,,,,,,,,,,,,,,,,,
聖誕,圣诞,Sheng4 dan4],Christmas,birthday of reigning Emperor,Confucius' birthday,,,,,,,,,,,,,,,
聖誕前夕,圣诞前夕,Sheng4 dan4 qian2 xi1],Christmas eve,,,,,,,,,,,,,,,,,
聖誕卡,圣诞卡,Sheng4 dan4 ka3],Christmas card,,,,,,,,,,,,,,,,,
聖誕島,圣诞岛,Sheng4 dan4 Dao3],Christmas Island Australia,,,,,,,,,,,,,,,,,
聖誕快樂,圣诞快乐,Sheng4 dan4 kuai4 le4],Merry Christmas,,,,,,,,,,,,,,,,,
聖誕樹,圣诞树,Sheng4 dan4 shu4],Christmas tree,,,,,,,,,,,,,,,,,
聖誕節,圣诞节,Sheng4 dan4 jie2],Christmas time,Christmas season,Christmas,,,,,,,,,,,,,,,
聖誕紅,圣诞红,sheng4 dan4 hong2],poinsettia (Euphorbia pulcherrima),,,,,,,,,,,,,,,,,
聖誕老人,圣诞老人,Sheng4 dan4 Lao3 ren2],Father Christmas,Santa Claus,,,,,,,,,,,,,,,,
聖誕花,圣诞花,sheng4 dan4 hua1],poinsettia (Euphorbia pulcherrima),,,,,,,,,,,,,,,,,
聖誕頌,圣诞颂,Sheng4 dan4 Song4],A Christmas Carol by Charles Dickens,,,,,,,,,,,,,,,,,
聖諭,圣谕,sheng4 yu4],imperial edict,see also 上諭|上谕[shang4 yu4],,,,,,,,,,,,,,,,
聖賢,圣贤,sheng4 xian2],a sage,wise and holy man,virtuous ruler,Buddhist lama,wine,,,,,,,,,,,,,
聖賢孔子鳥,圣贤孔子鸟,sheng4 xian2 Kong3 zi3 niao3],Confuciusornis sanctus (Jurassic fossil bird),,,,,,,,,,,,,,,,,
聖賢書,圣贤书,sheng4 xian2 shu1],holy book,,,,,,,,,,,,,,,,,
聖赫勒拿,圣赫勒拿,Sheng4 he4 lei1 na2],St Helena,,,,,,,,,,,,,,,,,
聖赫勒拿島,圣赫勒拿岛,Sheng4 He4 le4 na2 Dao3],Saint Helena,,,,,,,,,,,,,,,,,
聖跡,圣迹,sheng4 ji4],Holy relic,miracle,,,,,,,,,,,,,,,,
聖路易斯,圣路易斯,Sheng4 lu4 yi4 si1],St Louis large city in eastern Missouri,,,,,,,,,,,,,,,,,
聖躬,圣躬,sheng4 gong1],the Emperor's body,Holy body,the current reigning Emperor,,,,,,,,,,,,,,,
聖雄,圣雄,sheng4 xiong2],sage hero,refers to Mahatma Gandhi,,,,,,,,,,,,,,,,
聖露西亞,圣露西亚,Sheng4 Lu4 xi1 ya4],Saint Lucia (Tw),,,,,,,,,,,,,,,,,
聖靈,圣灵,Sheng4 ling2],Holy Ghost,Holy Spirit,,,,,,,,,,,,,,,,
聖靈降臨,圣灵降临,Sheng4 ling2 jiang4 lin2],Pentecost,,,,,,,,,,,,,,,,,
聖餐,圣餐,sheng4 can1],Holy communion (of the Christian mass),sacrament,,,,,,,,,,,,,,,,
聖餐檯,圣餐台,sheng4 can1 tai2],(Christian) altar,,,,,,,,,,,,,,,,,
聖馬利諾,圣马利诺,Sheng4 Ma3 li4 nuo4],San Marino (Tw),,,,,,,,,,,,,,,,,
聖馬力諾,圣马力诺,Sheng4 ma3 li4 nuo4],San Marino,,,,,,,,,,,,,,,,,
聖馬洛,圣马洛,Sheng4 Ma3 luo4],St Malo town in Normandy,,,,,,,,,,,,,,,,,
聖體,圣体,sheng4 ti3],the Emperor's body,Jesus' body,communion wafer (in Christian mass),,,,,,,,,,,,,,,
聖體節,圣体节,Sheng4 ti3 jie2],Corpus Christi (Catholic festival on second Thursday after Whit Sunday),,,,,,,,,,,,,,,,,
聖體血,圣体血,sheng4 ti3 xue4],the body and blood of Christ,Holy communion,,,,,,,,,,,,,,,,
聘,聘,pin4],to engage (a teacher etc),to hire,to betroth,betrothal gift,to get married (of woman),,,,,,,,,,,,,
聘任,聘任,pin4 ren4],to appoint (to a position),appointed,,,,,,,,,,,,,,,,
聘問,聘问,pin4 wen4],international exchange of visits,to visit as envoy,to visit as family representative for purpose of marriage arrangement (traditional culture),,,,,,,,,,,,,,,
聘娶婚,聘娶婚,pin4 qu3 hun1],formal betrothal (in which the boy's family sends presents to the girl's family),,,,,,,,,,,,,,,,,
聘書,聘书,pin4 shu1],letter of appointment,contract,,,,,,,,,,,,,,,,
聘用,聘用,pin4 yong4],to employ,to hire,,,,,,,,,,,,,,,,
聘禮,聘礼,pin4 li3],betrothal gift,,,,,,,,,,,,,,,,,
聘請,聘请,pin4 qing3],to engage,to hire (a lawyer etc),,,,,,,,,,,,,,,,
聘金,聘金,pin4 jin1],betrothal money (given to the bride's family),,,,,,,,,,,,,,,,,
聚,聚,ju4],to congregate,to assemble,to mass,to gather together,to amass,to polymerize,,,,,,,,,,,,
聚丙烯,聚丙烯,ju4 bing3 xi1],polypropylene,,,,,,,,,,,,,,,,,
聚乙烯,聚乙烯,ju4 yi3 xi1],polythene,polyethylene,,,,,,,,,,,,,,,,
聚伙,聚伙,ju4 huo3],to gather a crowd,a mob,,,,,,,,,,,,,,,,
聚光,聚光,ju4 guang1],to focus light (e.g. in theater),to spotlight,,,,,,,,,,,,,,,,
聚光太陽能,聚光太阳能,ju4 guang1 tai4 yang2 neng2],concentrating solar power (CSP),,,,,,,,,,,,,,,,,
聚光燈,聚光灯,ju4 guang1 deng1],spotlight,,,,,,,,,,,,,,,,,
聚友,聚友,Ju4 you3],MySpace (social networking website),,,,,,,,,,,,,,,,,
聚合,聚合,ju4 he2],to come together (to form sth),to assemble together,(chemistry) to polymerize,,,,,,,,,,,,,,,
聚合作用,聚合作用,ju4 he2 zuo4 yong4],polymerization,,,,,,,,,,,,,,,,,
聚合物,聚合物,ju4 he2 wu4],polymer,,,,,,,,,,,,,,,,,
聚合資訊訂閱,聚合资讯订阅,ju4 he2 zi1 xun4 ding4 yue4],RSS (news feeds),,,,,,,,,,,,,,,,,
聚合酶,聚合酶,ju4 he2 mei2],polymerase (enzyme),,,,,,,,,,,,,,,,,
聚合體,聚合体,ju4 he2 ti3],aggregate,polymer,,,,,,,,,,,,,,,,
聚四氟乙烯,聚四氟乙烯,ju4 si4 fu2 yi3 xi1],polytetrafluoroethylene (PTFE) trademarked as Teflon,,,,,,,,,,,,,,,,,
聚在一起,聚在一起,ju4 zai4 yi1 qi3],to get together,,,,,,,,,,,,,,,,,
聚寶盆,聚宝盆,ju4 bao3 pen2],treasure bowl (mythology),fig. source of wealth,cornucopia,gold mine,,,,,,,,,,,,,,
聚居,聚居,ju4 ju1],to inhabit a region (esp. ethnic group),to congregate,,,,,,,,,,,,,,,,
聚居地,聚居地,ju4 ju1 di4],inhabited land,habitat,,,,,,,,,,,,,,,,
聚攏,聚拢,ju4 long3],to gather together,,,,,,,,,,,,,,,,,
聚散,聚散,ju4 san4],coming together and separating,aggregation and dissipation,,,,,,,,,,,,,,,,
聚斂,聚敛,ju4 lian3],to accumulate,to gather,to amass wealth by heavy taxation or other unscrupulous means,(science) convergent,,,,,,,,,,,,,,
聚晤,聚晤,ju4 wu4],to meet (as a social group),,,,,,,,,,,,,,,,,
聚會,聚会,ju4 hui4],party,gathering,to meet,to get together,,,,,,,,,,,,,,
聚殲,聚歼,ju4 jian1],to annihilate,to round up and wipe out,,,,,,,,,,,,,,,,
聚氨酯,聚氨酯,ju4 an1 zhi3],polyurethane,,,,,,,,,,,,,,,,,
聚氯乙烯,聚氯乙烯,ju4 lu:4 yi3 xi1],polyvinyl chloride (PVC),,,,,,,,,,,,,,,,,
聚沙成塔,聚沙成塔,ju4 sha1 cheng2 ta3],sand grains accumulate to make a tower a tower (idiom); by gathering small amounts one gets a huge quantity,many a mickle makes a muckle,,,,,,,,,,,,,,,,
聚焦,聚焦,ju4 jiao1],to focus,,,,,,,,,,,,,,,,,
聚甲醛,聚甲醛,ju4 jia3 quan2],polyformaldehyde (CH2O)n,,,,,,,,,,,,,,,,,
聚眾,聚众,ju4 zhong4],to gather a crowd,to muster,,,,,,,,,,,,,,,,
聚眾淫亂罪,聚众淫乱罪,ju4 zhong4 yin2 luan4 zui4],group licentiousness (offense punishable by up to five years in prison in the PRC),,,,,,,,,,,,,,,,,
聚積,聚积,ju4 ji1],to accumulate,to collect,to build up,,,,,,,,,,,,,,,
聚精會神,聚精会神,ju4 jing1 hui4 shen2],to concentrate one's attention (idiom),,,,,,,,,,,,,,,,,
聚義,聚义,ju4 yi4],to meet as volunteers for an uprising,,,,,,,,,,,,,,,,,
聚脂,聚脂,ju4 zhi1],polyester,also written 聚酯,,,,,,,,,,,,,,,,
聚苯乙烯,聚苯乙烯,ju4 ben3 yi3 xi1],polystyrene,,,,,,,,,,,,,,,,,
聚落,聚落,ju4 luo4],settlement,dwelling place,town,village,,,,,,,,,,,,,,
聚螢映雪,聚萤映雪,ju4 ying2 ying4 xue3],lit. to collect fireflies and study by their light (idiom); fig. ambitious student from impoverished background,burning the midnight oil,,,,,,,,,,,,,,,,
聚訟紛紜,聚讼纷纭,ju4 song4 fen1 yun2],(of a body of people) to offer all kinds of different opinions (idiom),to argue endlessly,,,,,,,,,,,,,,,,
聚談,聚谈,ju4 tan2],to have a discussion in a group,to have a chat with sb,,,,,,,,,,,,,,,,
聚議,聚议,ju4 yi4],to meet for negotiation,,,,,,,,,,,,,,,,,
聚變,聚变,ju4 bian4],fusion (physics),,,,,,,,,,,,,,,,,
聚變反應,聚变反应,ju4 bian4 fan3 ying4],nuclear fusion,,,,,,,,,,,,,,,,,
聚變武器,聚变武器,ju4 bian4 wu3 qi4],fusion-type weapon,,,,,,,,,,,,,,,,,
聚賭,聚赌,ju4 du3],communal gambling,,,,,,,,,,,,,,,,,
聚酯,聚酯,ju4 zhi3],polyester,,,,,,,,,,,,,,,,,
聚酯樹脂,聚酯树脂,ju4 zhi3 shu4 zhi1],polyester resin,,,,,,,,,,,,,,,,,
聚酯纖維,聚酯纤维,ju4 zhi3 xian1 wei2],polyester fiber,,,,,,,,,,,,,,,,,
聚酰亞胺,聚酰亚胺,ju4 xian1 ya4 an4],polyimide,,,,,,,,,,,,,,,,,
聚酰胺,聚酰胺,ju4 xian1 an4],polyamide,,,,,,,,,,,,,,,,,
聚集,聚集,ju4 ji2],to assemble,to gather,,,,,,,,,,,,,,,,
聚頭,聚头,ju4 tou2],to meet,to get together,,,,,,,,,,,,,,,,
聚飲,聚饮,ju4 yin3],to meet for social drinking,,,,,,,,,,,,,,,,,
聚餐,聚餐,ju4 can1],communal meal,formal dinner of club or group,,,,,,,,,,,,,,,,
聚首,聚首,ju4 shou3],to gather,to meet,,,,,,,,,,,,,,,,
聚點,聚点,ju4 dian3],meeting point,accumulation point (math),,,,,,,,,,,,,,,,
聚齊,聚齐,ju4 qi2],to meet together,to assemble (of a group of people),,,,,,,,,,,,,,,,
聝,聝,guo2],cut off the left ear of the slain,,,,,,,,,,,,,,,,,
聞,闻,Wen2],surname Wen,,,,,,,,,,,,,,,,,
